No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.49, 0.0291, 0.4815, 0.0365, 0.401, 0.235, +-+--, 0.257, 0.42, -1.212, -22.234, 0.014, 0.954, 3.197, 53.381
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5128, 0.0222, 0.4891, 0.0181, 0.541, 0.274, +----, 0.225, 0.825, -1.707, -29.662, 0.014, 1.265, 2.95, 49.667
 1, ['Close_norm'], None, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.531, 0.0653, 0.5259, 0.0611, 0.394, 0.212, +-+++, 0.376, 1.24, 4.566, 78.134, 0.012, 1.631, 6.252, 104.597
 1, ['Close_norm'], SAX, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5185, 0.0376, 0.5045, 0.04, 0.524, 0.242, +-+-+, 0.292, 0.476, 1.832, 25.274, 0.012, 0.756, 4.885, 78.167
 1, ['Close_norm'], None, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4972, 0.0384, 0.4844, 0.0359, 0.35, 0.179, --+++, 0.333, 0.464, 1.127, 20.965, 0.013, 0.733, 4.222, 71.917
 1, ['Close_norm'], SAX, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5319, 0.0149, 0.5161, 0.0246, 0.524, 0.25, +-+--, 0.261, 0.82, 3.498, 51.408, 0.013, 0.908, 5.408, 87.139
 1, ['Close_norm'], None, euclidean, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4872, 0.0241, 0.4741, 0.0241, 0.392, 0.224, +-+-+, 0.305, 0.558, 0.303, 4.664, 0.014, 0.969, 3.954, 66.83
 1, ['Close_norm'], SAX, euclidean, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5155, 0.045, 0.493, 0.0611, 0.53, 0.241, --+++, 0.259, 0.785, 3.837, 64.043, 0.014, 1.271, 5.721, 96.519
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5153, 0.0482, 0.5038, 0.0362, 0.401, 0.195, +-++-, 0.318, 0.839, 4.114, 60.802, 0.013, 0.889, 5.49, 87.724
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4974, 0.0407, 0.4355, 0.082, 0.988, 0.341, D--++, 0.113, 0.703, -1.53, -19.343, 0.013, 1.121, 2.668, 47.651
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4923, 0.0345, 0.4727, 0.0469, 0.512, 0.194, -+-++, 0.268, 1.301, 0.919, 18.455, 0.013, 1.313, 3.893, 66.551
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5067, 0.0325, 0.4916, 0.0304, 0.385, 0.19, ++-++, 0.288, 1.368, 1.651, 30.925, 0.013, 1.141, 4.555, 77.884
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4906, 0.0405, 0.428, 0.0775, 1.044, 0.398, ---+-, 0.092, 0.379, -2.351, -36.27, 0.013, 1.028, 2.554, 44.286
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5013, 0.0258, 0.4744, 0.0573, 0.505, 0.215, -++++, 0.226, 1.141, 3.628, 64.533, 0.013, 0.937, 5.544, 94.688
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4884, 0.0265, 0.4726, 0.0215, 0.455, 0.238, -+-+-, 0.312, 0.718, -0.991, -16.701, 0.014, 0.889, 3.162, 53.931
